monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
18162a,18162a04,fly,0:01:20,na,na,air,sod
18162a,18162a05,fly,0:00:01,4622417.047,434128.87,air - cross berm,sod
18162a,18162a06,fly,0:01:20,na,na,air,sod
18162a,18162a07,fly,0:00:01,4622354.895,434150.587,air - cross edge,edge
18163a,18163a01,release,0:15:00,4622527.192,434082.332,vegetative blazing star,sod
18164a,18164a01,release,0:00:30,4622527.192,434082.332,vegetative blazing star,sod
18164a,18164a02,fly,0:00:03,na,na,air,sod
18164a,18164a03,rest,0:00:30,4622524.48,434082.923,grass,sod
18164a,18164a04,fly,0:00:03,na,na,air,sod
18164a,18164a05,rest,0:00:30,4622440.379,434051.979,berm,sod
18164a,18164a06,fly,0:00:03,na,na,air,sod
18164a,18164a07,rest,0:00:30,4622438.625,434053.901,berm,sod
18164a,18164a08,fly,0:00:03,na,na,air,sod
18164a,18164a09,fly,0:00:01,4622371.806,434024.553,air,sod
18165a,18165a01,release,0:15:00,4622527.192,434082.332,vegetative blazing star,sod
18166a,18166a01,release,0:04:00,4622527.192,434082.332,vegetative blazing star,sod
18166a,18166a02,fly,0:01:00,na,na,air,sod
18166a,18166a03,fly,0:00:01,4622476.423,434096.545,air - cross berm,sod
18166a,18166a04,fly,0:01:00,na,na,air,sod
18166a,18166a05,fly,0:00:01,4622357.361,434109.858,air - cross edge,edge
18166a,18166a06,fly,0:01:00,na,na,air,soy
18166a,18166a07,rest,0:00:01,4622235.828,434073.194,soy,soy
18167a,18167a01,release,0:15:00,4622527.192,434082.332,vegetative blazing star,sod
18168a,18168a01,release,0:01:00,4622527.192,434082.332,vegetative blazing star,sod
18168a,18168a02,fly,0:02:00,na,na,air,sod
18168a,18168a03,fly,0:00:01,4622509.683,434100.624,air - cross berm,sod
18168a,18168a04,fly,0:02:00,na,na,air,na
18168a,18168a05,fly,0:00:01,4622357.565,434101.294,air,na
18169a,18169a01,release,0:01:00,4622527.192,434082.332,vegetative blazing star,sod
18169a,18169a02,fly,0:00:30,na,na,air,sod
18169a,18169a03,fly,0:00:01,4622357.587,434089.688,air - cross edge,edge
18169a,18169a04,fly,0:00:30,na,na,air,soy
18169a,18169a05,rest,0:00:30,4622267.184,434079.09,soy,soy
18169a,18169a06,fly,0:00:30,na,na,air,corn
18169a,18169a07,rest,0:00:01,4622264.562,434057.846,corn,corn
18170a,18170a01,release,0:00:30,4622527.192,434082.332,vegetative blazing star,sod
18170a,18170a02,fly,0:00:03,na,na,air,sod
18170a,18170a03,rest,0:00:30,4622525.572,434082.103,grass,sod
18170a,18170a04,fly,0:00:30,na,na,air,sod
18170a,18170a05,fly,0:00:01,4622509.798,434100.532,air,sod
18170a,18170a06,fly,0:00:30,na,na,air,sod
18170a,18170a07,rest,0:00:30,4622520.234,434141.892,berm,sod
18170a,18170a08,fly,0:00:30,na,na,air,sod
18170a,18170a09,rest,0:00:01,4622531.639,434144.549,berm,sod
18171a,18171a01,release,0:02:00,4622527.192,434082.332,vegetative blazing star,sod
18171a,18171a02,fly,0:01:00,na,na,air,sod
18171a,18171a03,fly,0:00:01,4622505.184,434099.909,air - cross berm,sod
18171a,18171a04,fly,0:01:00,na,na,air,sod
18171a,18171a05,rest,0:01:30,4622476.897,434134.251,berm,sod
18171a,18171a06,fly,0:00:03,na,na,air,sod
18171a,18171a07,rest,0:00:01,4622407.501,434165.469,grass,sod
18172a,18172a01,release,0:15:00,4622527.192,434082.332,vegetative blazing star,sod
18173a,18173a01,release,0:15:00,4622507.88,434018.719,vegetative blazing star,sod
18174a,18174a01,release,0:01:00,4622507.88,434018.719,vegetative blazing star,sod
18174a,18174a02,fly,0:00:03,na,na,air,sod
18174a,18174a03,rest,0:10:00,4622494.692,434054.5,grass,sod
18174a,18174a04,fly,0:00:30,na,na,air,sod
18174a,18174a05,fly,0:00:01,4622538.067,434103.877,air - cross berm,sod
18174a,18174a06,fly,0:00:30,na,na,air,sod
18174a,18174a07,fly,0:00:01,4622513.492,434140.871,air - cross berm,sod
18174a,18174a08,fly,0:00:30,na,na,air,sod
18174a,18174a09,fly,0:00:01,4622291.22,434386.512,air - lost,na
18175a,18175a01,release,0:03:00,4622507.88,434018.719,vegetative blazing star,sod
18175a,18175a02,fly,0:00:03,na,na,air,sod
18175a,18175a03,rest,0:02:00,4622494.743,434042.733,grass,sod
18175a,18175a04,fly,0:00:30,na,na,air,sod
18175a,18175a05,fly,0:00:01,4622457.008,434094.004,air - cross berm,sod
18175a,18175a06,fly,0:00:30,na,na,air,sod
18175a,18175a07,fly,0:00:01,4622425.502,434168.631,air - cross berm,sod
18175a,18175a08,fly,0:00:30,na,na,air,sod
18175a,18175a09,fly,0:00:01,4622407.383,434245.858,air - lost,na
18176a,18176a01,release,0:02:00,4622507.88,434018.719,vegetative blazing star,sod
18176a,18176a02,fly,0:00:03,na,na,air,sod
18176a,18176a03,rest,0:01:00,4622507.765,434021.514,grass,sod
18176a,18176a04,fly,0:00:03,na,na,air,sod
18176a,18176a05,rest,0:04:00,4622508.524,434028.087,grass,sod
18176a,18176a06,fly,0:00:03,na,na,air,sod
18176a,18176a07,rest,0:10:00,4622505.331,434047.289,grass,sod
18176a,18176a08,fly,0:00:03,na,na,air,sod
18176a,18176a09,rest,0:00:01,4622498.496,434060.401,berm,sod
18177a,18177a01,release,0:02:00,4622507.88,434018.719,vegetative blazing star,sod
18177a,18177a02,fly,0:02:00,na,na,air,sod
18177a,18177a03,fly,0:00:01,4622263.999,434320.326,air - lost,na
18178a,18178a01,release,0:01:00,4622507.88,434018.719,vegetative blazing star,sod
18178a,18178a02,fly,0:00:03,na,na,air,sod
18178a,18178a03,rest,0:05:00,4622493.002,434063.768,grass,sod
18178a,18178a04,fly,0:00:03,na,na,air,sod
18178a,18178a05,rest,0:00:01,4622501.258,434061.265,grass,sod
18179a,18179a01,release,0:01:00,4622507.88,434018.719,vegetative blazing star,sod
18179a,18179a02,fly,0:00:30,na,na,air,sod
18179a,18179a03,fly,0:00:01,4622488.699,434057.911,air - cross berm,sod
18179a,18179a04,fly,0:00:30,na,na,air,sod
18179a,18179a05,fly,0:00:01,4622442.981,434173.33,air - lost,sod
18180a,18180a01,release,0:01:00,4622507.88,434018.719,vegetative blazing star,sod
18180a,18180a02,fly,0:00:03,na,na,air,sod
18180a,18180a03,rest,0:01:00,4622503.134,434071.53,grass,sod
18180a,18180a04,fly,0:00:03,na,na,air,sod
18180a,18180a05,rest,0:00:01,4622510.562,434098.141,grass,sod
18181a,18181a01,release,0:00:03,4622507.88,434018.719,vegetative blazing star,sod
18181a,18181a02,fly,0:01:00,na,na,air,sod
18181a,18181a03,fly,0:00:01,4622480.503,434096.715,air - cross berm,sod
18181a,18181a04,fly,0:01:00,na,na,air,sod
18181a,18181a05,fly,0:00:01,4622434.278,434169.568,air - cross berm,sod
18181a,18181a06,fly,0:03:00,na,na,air,sod
18181a,18181a07,rest,0:00:01,4622279.457,434357.929,grass,sod
18190a,18190a01,release,0:10:44,4667964.808,612187.161,vegetative blazing star,sod
18190a,18190a02,fly,0:00:03,na,na,air,sod
18190a,18190a03,rest,0:00:10,4667967.268,612190.746,grass,sod
18190a,18190a04,fly,0:00:03,na,na,air,sod
18190a,18190a05,rest,0:00:35,4667964.808,612187.161,vegetative blazing star,sod
18190a,18190a06,fly,0:00:03,na,na,air,sod
18190a,18190a07,feed,0:00:03,4667965.41,612156.149,potted blazing star,sod
18190a,18190a08,fly,0:00:03,na,na,air,sod
18190a,18190a09,fly,0:00:01,4667966.349,612141.119,air,sod
18191a,18191a01,release,0:14:50,4667964.808,612187.161,vegetative blazing star,sod
18191a,18191a02,fly,0:00:03,na,na,air,sod
18191a,18191a03,fly,0:00:01,4667969.595,612185.655,air,sod
18192a,18192a01,release,0:10:28,4667964.808,612187.161,vegetative blazing star,sod
18192a,18192a02,fly,0:00:03,na,na,air,sod
18192a,18192a03,feed,0:00:05,4667965.275,612156.608,potted blazing star,sod
18192a,18192a04,fly,0:00:01,na,na,air,sod
18192a,18192a05,feed,0:00:15,4667965.275,612156.608,potted blazing star,sod
18192a,18192a06,fly,0:00:01,na,na,air,sod
18192a,18192a07,rest,0:00:45,4667965.275,612156.608,grass,sod
18192a,18192a08,fly,0:00:30,na,na,air,sod
18192a,18192a09,rest,0:00:01,4667956.451,612166.098,grass,sod
18193a,18193a01,release,0:15:00,4667964.808,612187.161,vegetative blazing star,sod
18194a,18194a01,release,0:15:00,4667964.808,612187.161,vegetative blazing star,sod
18195a,18195a01,release,0:06:33,4667964.808,612187.161,vegetative blazing star,sod
18195a,18195a02,fly,0:00:03,na,na,air,sod
18195a,18195a03,rest,0:01:45,4667964.884,612188.368,grass,sod
18195a,18195a04,fly,0:00:03,na,na,air,sod
18195a,18195a05,rest,0:01:30,4667963.256,612182.744,grass,sod
18195a,18195a06,fly,0:00:03,na,na,air,sod
18195a,18195a07,rest,0:00:15,4667967.573,612183.897,grass,sod
18195a,18195a08,fly,0:00:03,na,na,air,sod
18195a,18195a09,rest,0:01:40,4667965.119,612187.968,grass,sod
18195a,18195a10,fly,0:00:03,na,na,air,sod
18195a,18195a11,rest,0:00:01,4667967.86,612199.539,grass,sod
18196a,18196a01,release,0:02:00,4667964.808,612187.161,vegetative blazing star,sod
18196a,18196a02,fly,0:00:18,na,na,air,sod
18196a,18196a03,feed,0:00:01,4667967.703,612191.424,resources: blazing star,sod
18197a,18197a01,release,0:10:00,4667964.808,612187.161,vegetative blazing star,sod
18198a,18198a01,release,0:04:53,4667964.808,612187.161,vegetative blazing star,sod
18198a,18198a02,fly,0:00:03,na,na,air,sod
18198a,18198a03,rest,0:00:01,4667965.509,612187.463,grass,sod
18199a,18199a01,release,0:06:55,4667964.808,612187.161,vegetative blazing star,sod
18199a,18199a02,fly,0:00:03,na,na,air,sod
18199a,18199a03,rest,0:00:07,4667965.134,612187.39,grass,sod
18199a,18199a04,fly,0:00:03,na,na,air,sod
18199a,18199a05,rest,0:00:11,4667968.513,612190.404,grass,sod
18199a,18199a06,fly,0:00:30,na,na,air,sod
18199a,18199a07,fly,0:00:01,4667939.975,612187.462,air,sod
18200a,18200a01,release,0:00:34,4667964.808,612187.161,vegetative blazing star,sod
18200a,18200a02,fly,0:01:25,na,na,air,sod
18200a,18200a03,fly,0:00:01,4667802.882,612046.85,air,sod
18203a,18203a01,release,0:06:00,4622515.476,433995.11,vegetative blazing star,sod
18203a,18203a02,fly,0:00:03,na,na,air,sod
18203a,18203a03,rest,0:01:00,4622514.549,433995.714,grass,sod
18203a,18203a04,fly,0:00:03,na,na,air,sod
18203a,18203a05,rest,0:02:00,4622531.409,434101.722,grass,sod
18203a,18203a06,fly,0:00:03,na,na,air,sod
18203a,18203a07,fly,0:00:01,4622472.791,434157.092,air,sod
18204a,18204a01,release,0:05:00,4622515.476,433995.11,vegetative blazing star,sod
18204a,18204a02,fly,0:00:20,na,na,air,sod
18204a,18204a03,rest,0:00:05,4622515.842,433994.459,grass,sod
18204a,18204a04,fly,0:00:20,na,na,air,sod
18204a,18204a05,rest,0:00:01,4622527.701,433983.107,grass,sod
18204a,18204a06,fly,0:00:20,na,na,air,sod
18204a,18204a07,feed,0:00:01,4622583.548,433962.027,resources: blazing star,sod
18205a,18205a01,release,0:00:30,4622515.476,433995.11,vegetative blazing star,sod
18205a,18205a02,fly,0:00:03,na,na,air,sod
18205a,18205a03,rest,0:00:30,4622515.921,433994.83,grass,sod
18205a,18205a04,fly,0:00:03,na,na,air,sod
18205a,18205a05,rest,0:01:00,4622516.288,433993.379,grass,sod
18205a,18205a06,fly,0:00:03,na,na,air,sod
18205a,18205a07,rest,0:00:01,4622516.126,433998.841,grass,sod
18206a,18206a01,release,0:12:00,4622515.476,433995.11,vegetative blazing star,sod
18206a,18206a02,fly,0:00:30,na,na,air,sod
18206a,18206a03,fly,0:00:01,4622475.561,433918.798,air - cross edge,edge
18206a,18206a04,fly,0:00:30,na,na,air,soy
18206a,18206a05,rest,0:00:01,4622476.95,433871.17,soy,soy
18206a,18206a06,fly,0:00:30,na,na,air,soy
18206a,18206a07,fly,0:00:01,4622476.842,433851.828,air - lost sight,soy
18207a,18207a01,release,0:15:00,4622515.476,433995.11,vegetative blazing star,sod
18208a,18208a01,release,0:00:03,4622515.476,433995.11,vegetative blazing star,sod
18208a,18208a02,fly,0:00:03,na,na,air,sod
18208a,18208a03,rest,0:00:15,4622516.171,433994.18,grass,sod
18208a,18208a04,fly,0:00:03,na,na,air,sod
18208a,18208a05,rest,0:00:45,4622567.741,434001.031,grass,sod
18208a,18208a06,fly,0:00:30,na,na,air,sod
18208a,18208a07,fly,0:00:01,4622603.049,434054.057,air,sod
18208a,18208a08,fly,0:00:30,na,na,air,sod
18208a,18208a09,fly,0:00:01,4622365.359,433969.313,air,sod
18209a,18209a01,release,0:01:00,4622515.476,433995.11,vegetative blazing star,sod
18209a,18209a02,fly,0:00:30,na,na,air,sod
18209a,18209a03,fly,0:00:01,4622369.679,433972.623,air - cross edge,sod
18210a,18210a01,release,0:00:03,4622515.476,433995.11,vegetative blazing star,sod
18210a,18210a02,fly,0:00:03,na,na,air,sod
18210a,18210a03,rest,0:05:00,4622515.187,433985.882,grass,sod
18210a,18210a04,fly,0:00:30,na,na,air,sod
18210a,18210a05,fly,0:00:01,4622511.113,433919.494,air - cross edge,sod
18210a,18210a06,fly,0:00:30,na,na,air,sod
18210a,18210a07,fly,0:00:01,4622513.415,433840.619,air - lost,sod
18211a,18211a01,release,0:00:03,4622515.476,433995.11,vegetative blazing star,sod
18211a,18211a02,fly,0:00:03,na,na,air,sod
18211a,18211a03,rest,0:05:00,4622509.971,433990.112,grass,sod
18211a,18211a04,fly,0:02:00,na,na,air,sod
18211a,18211a05,rest,0:00:01,4622381.016,433919.187,vegetation,edge
18212a,18212a01,release,0:01:00,4622515.476,433995.11,vegetative blazing star,sod
18212a,18212a02,fly,0:00:03,na,na,air,sod
18212a,18212a03,fly,0:01:00,4622515.342,433995.821,air - cross berm,sod
18212a,18212a04,fly,0:00:30,na,na,air,sod
18212a,18212a05,rest,0:00:01,4622454.95,434056.09,grass,sod
18212a,18212a06,fly,0:00:30,na,na,air,sod
18212a,18212a07,rest,0:10:00,4622431.723,434065.304,grass,sod
